From	To
Q08023	4932.YLR077W
P20081	4932.YNL135C
P38697	4932.YHR216W
P53251	4932.YGR081C
Q07993	4932.YLR070C
P53632	4932.YOL115W
P06786	4932.YNL088W
O60238	9606.ENSP00000370003
P00359	4932.YGR192C
P40969	4932.YMR168C
P39715	4932.YAL059W
Q12068	4932.YOL151W
P41805	4932.YLR075W
Q12531	4932.YPR015C
P53155	4932.YGL082W
P06779	4932.YJR052W
Q99176	4932.YLR119W
P17629	4932.YDR138W
Q12331	4932.YDR262W
Q12055	4932.YDL166C
P21306	4932.YPL271W
P07991	4932.YLR438W
P40562	4932.YIR002C
P39107	4932.YPL050C
Q99190	4932.YDL015C
P28817	4932.YDR036C
P37370	4932.YLR337C
P22515	4932.YKL210W
Q03530	4932.YMR274C
P14772	4932.YLL015W
Q12846	9606.ENSP00000317714
P08425	4932.YPR047W
P54780	4932.YMR121C
Q07951	4932.YLR021W
P25347	4932.YCR001W
P41057	4932.YLR388W
Q12429	4932.YLR143W
P47172	4932.YJR141W
Q03784	4932.YDR246W
P36520	4932.YNL284C
P40319	4932.YLR372W
P53035	4932.YGL209W
P38828	4932.YHR121W
Q07963	4932.YLR024C
Q12031	4932.YPR006C
Q02159	4932.YMR022W
P38346	4932.YBR270C
P03876	4932.Q0055
Q01080	4932.YNL248C
Q04493	4932.YML094W
P40535	4932.YIL036W
P39933	4932.YPR186C
P28834	4932.YNL037C
Q12467	4932.YPL168W
P52924	4932.YNR075W
Q3E7B2	4932.YJL062W-A
P07266	4932.YIR021W
P35606	9606.ENSP00000329419
P54867	4932.YOR008C
P28241	4932.YOR136W
P50082	4932.YGR225W
P32259	4932.YNL236W
P38915	4932.YLR055C
Q06106	4932.YPR112C
Q12256	4932.YOR273C
Q04675	4932.YMR059W
P21672	4932.YIL066C
P33298	4932.YDR394W
P16387	4932.YER178W
P19263	4932.YLR071C
P39705	4932.YAR002W
P36096	4932.YKL034W
P40532	4932.YIL040W
P05316	4932.YBR021W
P46956	4932.YJL117W
P53133	4932.YGL117W
Q04902	4932.YMR322C
P38267	4932.YBR113W
P05374	4932.YGR157W
P36089	4932.YKL066W
P23369	4932.YGR076C
P55735	9606.ENSP00000373312
P32641	4932.YER173W
P47011	4932.YJL137C
P38360	4932.YBR295W
P39923	4932.YEL062W
P40452	4932.YIL157C
P39970	4932.YER045C
P25593	4932.YCL068C
Q96BR9	9606.ENSP00000362609
P33122	4932.YOR344C
P47020	4932.YJL120W
P36153	4932.YKR073C
P25342	4932.YCR002C
P48234	4932.YGR145W
Q06152	4932.YLR271W
P47041	4932.YJL058C
P38255	4932.YBR095C
P47032	4932.YJL079C
P53895	4932.YNL159C
P39522	4932.YJR016C
Q9Y2J4	9606.ENSP00000424765
P53184	4932.YGL037C
P40583	4932.YIR039C
Q04225	4932.YMR131C
Q12315	4932.YDL207W
P25377	4932.YCR105W
P38755	4932.YHR001W
Q2NKX8	9606.ENSP00000334675
P38088	4932.YBR121C
Q03674	4932.YMR006C
P53937	4932.YNL081C
Q05497	4932.YDR338C
P22209	4932.YAR018C
P39987	4932.YEL030W
Q06350	4932.YDR371W
P12385	4932.YBR143C
Q12983	9606.ENSP00000357625
Q12251	4932.YPR011C
P38909	4932.YOR037W
Q10740	4932.YNL045W
Q04410	4932.YDR517W
Q02326	4932.YML073C
P32332	4932.YKL120W
Q07530	4932.YDL114W
P31386	4932.YAL020C
Q12484	4932.YOR343C
Q12124	4932.YDL005C
Q03034	4932.YDR539W
P50094	4932.YML056C
P32445	4932.YCR028C-A
Q08912	4932.YOR389W
P89105	4932.YOL145C
Q12069	4932.YDL036C
P40414	4932.YIL138C
P40416	4932.YMR301C
P38138	4932.YBR229C
Q12285	4932.YOL111C
P45818	4932.YGL171W
P0CX25	4932.YJR094W-A
P40340	4932.YGR270W
Q08907	4932.YOR383C
Q12271	4932.YOR109W
Q02642	4932.YPL037C
Q96HB5	9606.ENSP00000474071
P40574	4932.YIR018W
Q08975	4932.YPL258C
Q12218	4932.YOR009W
P39008	4932.YNR052C
P53828	4932.YNL296W
P31249	9606.ENSP00000386498
Q12369	4932.YLL003W
Q06440	4932.YLR429W
P29478	4932.YML105C
Q06679	4932.YDR324C
Q99181	4932.YOR319W
P47083	4932.YJR002W
P38232	4932.YBR050C
Q06001	4932.YLR238W
P47093	4932.YJR022W
Q03246	4932.YMR188C
P38820	4932.YHR111W
Q12270	4932.YPL246C
Q02606	4932.YPL014W
P40546	4932.YIL019W
Q9NR46	9606.ENSP00000361634
Q08058	4932.YOL008W
Q9UHV7	9606.ENSP00000380888
P40123	9606.ENSP00000229922
P02829	4932.YPL240C
P38749	4932.YHL009C
Q01939	4932.YGL048C
P25578	4932.YCL004W
P32349	4932.YPR190C
P26755	4932.YJL173C
P53195	4932.YGL005C
P31383	4932.YAL016W
P32599	4932.YDR129C
Q04562	4932.YDR107C
P39010	4932.YDR264C
Q07457	4932.YDL074C
Q06678	4932.YDR322W
P31334	4932.YGR220C
P48775	9606.ENSP00000444788
Q04223	4932.YMR130W
Q06116	4932.YPR117W
P09440	4932.YBR084W
P25603	4932.YCL007C
Q05131	4932.YMR034C
P32448	4932.YDL197C
P43591	4932.YFR007W
P38773	4932.YHR043C
A0A023PZ99	4932.YDR008C
P40569	4932.YIR013C
Q08919	4932.YPL176C
P38745	4932.YHL017W
Q03780	4932.YDR239C
P36119	4932.YKR023W
P87271	4932.YDR455C
P80210	4932.YNL220W
P53907	4932.YNL144C
P39991	4932.YEL025C
P38700	4932.YHL019C
P53934	4932.YNL092W
Q04748	4932.YMR066W
P07279	4932.YNL301C
P32347	4932.YDR047W
P53156	4932.YGL081W
O13556	4932.YLR462W
P53751	4932.YNR065C
P54999	4932.YPR182W
Q08227	4932.YOL065C
P06106	4932.YLR303W
Q07978	4932.YLR031W
P47167	4932.YJR135C
P21373	4932.YJR049C
P46974	4932.YJR127C
P26793	4932.YKL113C
P40032	4932.YER049W
P38966	4932.YDR089W
P36534	4932.YPL173W
P25607	4932.YCR101C
P53863	4932.YNL227C
P36100	4932.YKL028W
P07275	4932.YHR037W
P53264	4932.YGR110W
P32769	4932.YKR084C
Q03835	4932.YDR098C
P38206	4932.YBL020W
P53329	4932.YGR273C
P33203	4932.YKL012W
P36083	4932.YKL075C
P25453	4932.YER179W
Q12040	4932.YOR283W
P33204	4932.YKL013C
Q02767	4932.YPL065W
P0CF19	4932.YOL162W
P32367	4932.YBR123C
P04397	4932.YBR019C
Q3E7X9	4932.YOR167C
P04807	4932.YGL253W
Q06321	4932.YLR189C
P53951	4932.YNL051W
P43598	4932.YFR017C
P02557	4932.YFL037W
P23060	4932.YCR019W
P39727	4932.YAL042W
P25605	4932.YCL009C
P40517	4932.YIL063C
P22216	4932.YPL153C
Q02336	4932.YDR448W
Q12099	4932.YDR021W
P20486	4932.YBR135W
P20134	4932.YOR140W
P03965	4932.YJR109C
P33311	4932.YPL270W
Q12219	4932.YOR114W
P34162	4932.YHR041C
P38839	4932.YHR136C
P35181	4932.YLR170C
P41903	4932.YJR019C
P0CY11	4932.YCR097W
P39984	4932.YEL056W
P39958	4932.YER136W
P54861	4932.YLL001W
Q06673	4932.YLR436C
